frame_index,predicted_emotion
0,happiness
1,Fear
2,Disgust
3,Disgust
4,disgust
5,disgust
6,disgust
7,disgust
8,sadness
9,sadness
10,sadness
11,Disgust
12,Fear
13,Sadness
14,Sadness
15,Anger
16,happiness
17,disgust
18,happiness
19,disgust
20,sadness
21,sadness
22,Surprise
23,Surprise
24,Surprise
25,Surprise
26,Surprise
27,Surprise
28,Surprise
29,Surprise
30,Surprise
31,Surprise
32,Fear
33,Fear
34,Fear
35,Sadness
36,Surprise
37,Surprise
38,Surprise
39,Surprise
40,Happiness
41,Disgust
42,Disgust
43,surprise
44,Contempt
45,Contempt
46,Contempt
47,Contempt
48,Sadness
49,Contempt
50,Disgust
51,Disgust
52,Disgust
53,sadness
54,sadness
55,sadness
56,Disgust
57,sadness
58,others
59,sadness
60,sadness
61,disgust
62,Surprise
63,Surprise
64,Surprise
65,Surprise
66,sadness
67,sadness
68,sadness
69,disgust
70,disgust
71,sadness
72,Surprise
73,sadness
74,disgust
75,disgust
76,Disgust
77,Disgust
78,Disgust
79,Disgust
80,Disgust
